"f","q","n","r","s","pb_mean","cov"
1,1,100,4.94,5.36,1.1181,0.931
1,1,200,4.94,5.36,3.08914,0.92
1,1,300,4.94,5.36,5.2637,0.94
1,1,400,4.94,5.36,7.5149,0.927
2,1,100,5.2,5.6,1.57572,0.959
2,1,200,5.2,5.6,4.08816,0.972
2,1,300,5.2,5.6,6.81179,0.971
2,1,400,5.2,5.6,9.63276,0.951
3,1,100,3.03,3.28,1.13666,0.914
3,1,200,3.03,3.28,4.16194,0.946
3,1,300,3.03,3.28,7.97663,0.938
3,1,400,3.03,3.28,12.21891,0.938
4,1,100,1.92,2.12,5.83692,0.809
4,1,200,1.92,2.12,14.72005,0.891
4,1,300,1.92,2.12,24.39205,0.896
4,1,400,1.92,2.12,34.50131,0.92
5,1,100,0.3,0.31,1.20783,0.941
5,1,200,0.3,0.31,4.15623,0.923
5,1,300,0.3,0.31,7.88744,0.94
5,1,400,0.3,0.31,12.01955,0.955
6,1,100,1.78,1.91,0.66466,0.133
6,1,200,1.78,1.91,2.15445,0.106
6,1,300,1.78,1.91,3.83057,0.087
6,1,400,1.78,1.91,5.61704,0.063
4,2,100,2.96,3.04,0.58043,0.903
4,2,200,2.96,3.04,1.72835,0.872
4,2,300,2.96,3.04,3.10167,0.854
4,2,400,2.96,3.04,4.60944,0.839
5,2,100,0.39,0.4,0.00934,0.604
5,2,200,0.39,0.4,0.06275,0.707
5,2,300,0.39,0.4,0.15534,0.917
5,2,400,0.39,0.4,0.28665,0.88
6,2,100,2.71,2.8,0.0357,0.045
6,2,200,2.71,2.8,0.11214,0.074
6,2,300,2.71,2.8,0.20752,0.072
6,2,400,2.71,2.8,0.30874,0.076
