"f","q","n","r","s","pb_mean","cov"
1,1,100,4.94,5.36,1.1181,0.922
1,1,200,4.94,5.36,3.08914,0.888
1,1,300,4.94,5.36,5.2637,0.93
1,1,400,4.94,5.36,7.5149,0.911
2,1,100,5.2,5.6,1.57572,0.898
2,1,200,5.2,5.6,4.08816,0.909
2,1,300,5.2,5.6,6.81179,0.923
2,1,400,5.2,5.6,9.63276,0.922
3,1,100,3.03,3.28,1.13666,0.899
3,1,200,3.03,3.28,4.16194,0.828
3,1,300,3.03,3.28,7.97663,0.864
3,1,400,3.03,3.28,12.21891,0.874
4,1,100,1.92,2.12,5.83692,0.71
4,1,200,1.92,2.12,14.72005,0.783
4,1,300,1.92,2.12,24.39205,0.786
4,1,400,1.92,2.12,34.50131,0.813
5,1,100,0.3,0.31,1.20783,0.725
5,1,200,0.3,0.31,4.15623,0.773
5,1,300,0.3,0.31,7.88744,0.771
5,1,400,0.3,0.31,12.01955,0.825
6,1,100,1.78,1.91,0.66466,0.736
6,1,200,1.78,1.91,2.15445,0.705
6,1,300,1.78,1.91,3.83057,0.735
6,1,400,1.78,1.91,5.61704,0.771
4,2,100,2.96,3.04,0.58043,0.837
4,2,200,2.96,3.04,1.72835,0.673
4,2,300,2.96,3.04,3.10167,0.712
4,2,400,2.96,3.04,4.60944,0.695
5,2,100,0.39,0.4,0.00934,0.048
5,2,200,0.39,0.4,0.06275,0.032
5,2,300,0.39,0.4,0.15534,0.551
5,2,400,0.39,0.4,0.28665,0.952
6,2,100,2.71,2.8,0.0357,0.051
6,2,200,2.71,2.8,0.11214,0.27
6,2,300,2.71,2.8,0.20752,0.575
6,2,400,2.71,2.8,0.30874,0.789
